GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,com.greencommute.backend.controller,JobsController,6,76,1,9,1,17,1,8,0,4
Backend,com.greencommute.backend.controller,UserController,24,159,6,6,3,35,5,8,0,7
Backend,com.greencommute.backend.mapper,UserMapperImpl,2,19,1,1,1,6,1,2,0,2
Backend,com.greencommute.backend.mapper,JobMapperImpl,77,3,10,0,21,1,7,1,2,1
Backend,com.greencommute.backend.entity,CommuteRoutes,0,46,0,0,0,7,0,10,0,10
Backend,com.greencommute.backend.entity,SavedJobs,0,43,0,0,0,11,0,10,0,10
Backend,com.greencommute.backend.entity,Jobs,0,66,0,0,0,9,0,14,0,14
Backend,com.greencommute.backend.entity,User,0,36,0,0,0,6,0,8,0,8
Backend,com.greencommute.backend.entity,Skills,0,36,0,0,0,6,0,8,0,8
Backend,com.greencommute.backend.dto,ResponseDto,0,36,0,0,0,6,0,8,0,8
Backend,com.greencommute.backend.dto,UserDto,0,26,0,0,0,5,0,6,0,6
Backend,com.greencommute.backend.dto,JobsDto,0,66,0,0,0,9,0,14,0,14
Backend,com.greencommute.backend,BackendApplication,0,8,0,0,0,3,0,2,0,2
Backend,com.greencommute.backend.exception,DataNotFoundException,0,4,0,0,0,2,0,1,0,1
Backend,com.greencommute.backend.service,UserServiceImpl,0,12,0,0,0,4,0,2,0,2
Backend,com.greencommute.backend.service,SavedJobServiceImpl,0,68,0,4,0,18,0,6,0,4
Backend,com.greencommute.backend.service,JobServiceImpl,0,21,0,0,0,6,0,4,0,4
Backend,com.greencommute.backend.helper,Helper,0,66,0,6,0,14,0,7,0,4
